               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.046616,            0.068796,           0.0087572,             0.87916,             0.85275,             0.88809,             0.35452,            0.050484,            0.067232,           0.0075328,           0.0087922,           0.0087922,           0.0087922
                  63,            0.046064,            0.072923,           0.0077549,             0.89292,              0.8702,             0.90246,             0.37066,            0.047778,            0.066629,           0.0075653,           0.0087724,           0.0087724,           0.0087724
                  64,            0.045533,            0.070972,            0.008078,             0.90773,             0.88822,             0.92443,             0.45214,            0.044331,             0.06562,            0.007364,           0.0087526,           0.0087526,           0.0087526
                  65,            0.045632,             0.06907,           0.0084538,             0.91815,             0.90004,             0.93841,             0.45791,            0.042905,            0.065266,           0.0074848,           0.0087328,           0.0087328,           0.0087328
                  66,            0.047565,            0.074298,           0.0082181,             0.88304,             0.85839,             0.88109,             0.34383,            0.054352,            0.068734,           0.0072391,            0.008713,            0.008713,            0.008713
                  67,            0.047845,            0.071323,           0.0084339,             0.92525,             0.90584,             0.94599,             0.46974,            0.042706,            0.065104,           0.0071748,           0.0086932,           0.0086932,           0.0086932
                  68,            0.045969,            0.072219,           0.0076929,             0.88023,              0.8696,              0.9044,             0.40609,            0.048664,            0.067504,           0.0071793,           0.0086734,           0.0086734,           0.0086734
                  69,            0.047505,            0.071197,           0.0076947,             0.92969,             0.89891,             0.93745,             0.48021,            0.041527,            0.065652,            0.007196,           0.0086536,           0.0086536,           0.0086536
                  70,            0.044854,            0.071072,           0.0072972,             0.89254,             0.88819,             0.92203,             0.44374,            0.045913,            0.066152,           0.0071591,           0.0086338,           0.0086338,           0.0086338
                  71,            0.045495,            0.069097,           0.0084044,             0.91778,             0.89106,             0.92697,             0.43988,            0.046127,            0.067463,           0.0067215,            0.008614,            0.008614,            0.008614
                  72,            0.045578,            0.067107,           0.0077204,               0.936,             0.91267,             0.94807,             0.48802,            0.041859,            0.066682,           0.0065139,           0.0085942,           0.0085942,           0.0085942
                  73,            0.044669,            0.074122,           0.0072169,             0.88776,             0.86995,             0.89586,             0.36182,            0.051442,            0.068956,           0.0065099,           0.0085744,           0.0085744,           0.0085744
                  74,            0.047595,            0.069798,           0.0069076,             0.91598,             0.91811,             0.94242,              0.4742,             0.04234,             0.06676,           0.0066754,           0.0085546,           0.0085546,           0.0085546
                  75,            0.045941,            0.071396,           0.0082972,             0.89506,             0.87246,             0.89956,             0.40647,            0.047378,            0.067932,           0.0072647,           0.0085348,           0.0085348,           0.0085348
                  76,            0.045396,            0.070875,           0.0075028,             0.92402,             0.89341,              0.9329,             0.45487,            0.042578,            0.066569,            0.007382,            0.008515,            0.008515,            0.008515
                  77,            0.043092,            0.067888,           0.0084203,             0.90631,             0.89769,             0.91874,             0.41794,            0.046078,             0.06768,            0.006794,           0.0084952,           0.0084952,           0.0084952
                  78,            0.045664,            0.070532,           0.0069845,             0.87303,               0.849,             0.87013,              0.3245,            0.052054,            0.070171,            0.007176,           0.0084754,           0.0084754,           0.0084754
                  79,            0.045472,            0.068498,           0.0071933,             0.92091,             0.91496,                0.94,             0.47351,            0.042084,            0.066369,           0.0066508,           0.0084556,           0.0084556,           0.0084556
                  80,            0.046465,             0.06844,           0.0066945,             0.91101,             0.89092,             0.92131,             0.41459,            0.046196,            0.067812,           0.0065427,           0.0084358,           0.0084358,           0.0084358
